,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
190,KRW-IOTA,12765252.21824397,1714500407.455408,300.5,BID,326.8,2.2372577195035563e-07,4260756029.4424586
191,KRW-SOL,524957.94781923,1714500407.5142012,179750.0,BID,199900.0,1.0012906947251929e-12,111122215150.38562
192,KRW-DOGE,433536958.49728894,1714500407.7145169,191.1,ASK,209.1,-1.073364119278891e-07,99111733672.55426
193,KRW-GRT,46208724.12722982,1714500407.744123,335.4,BID,373.0,2.6030712009138983e-08,17767281230.40408
194,KRW-GRT,46209022.63224892,1714500407.747762,334.8,BID,373.0,1.6800827050294964e-08,17767281230.40408
195,KRW-ETH,31125.22639469,1714500408.014901,4290000.0,BID,4653000.0,2.0855048025021687e-14,156480099887.04108
196,KRW-VET,242344542.19133458,1714500408.4991128,51.02,ASK,57.9,-1.1259583577498809e-07,15430733183.997551
197,KRW-VET,242351987.00607467,1714500408.504831,51.02,ASK,57.9,-4.824666884793401e-07,15430733183.997551
198,KRW-VET,242393814.5053816,1714500408.5081768,51.03,ASK,57.9,-2.710661820679021e-06,15430733183.997551
199,KRW-XLM,29278334.30549356,1714500408.64551,152.0,ASK,161.7,-1.9116192119433965e-07,5052973068.718797
200,KRW-XLM,29289780.59386344,1714500408.650097,151.9,ASK,161.7,-2.2652581389635988e-06,5052973068.718797
201,KRW-XLM,29289912.08630262,1714500408.924819,152.1,BID,161.7,2.6022786464989618e-08,5052973068.718797
202,KRW-POWR,32515267.77109802,1714500409.318987,401.6,BID,444.3,2.785874443028006e-07,15320144849.604387
203,KRW-POWR,32516265.27733243,1714500409.3256938,401.8,BID,444.3,6.511075738511594e-08,15320144849.604387
204,KRW-STEEM,187436078.5270952,1714500409.333751,399.9,ASK,436.2,-8.798817546276854e-09,77352521288.0823
205,KRW-STEEM,187437336.5908901,1714500409.337193,400.1,ASK,436.2,-1.626403088046126e-08,77352521288.0823
206,KRW-STEEM,187439023.5908901,1714500409.339945,400.0,ASK,436.2,-2.1809243860547773e-08,77352521288.0823
207,KRW-POWR,32516776.86040911,1714500409.385074,402.0,BID,444.3,3.339283549235844e-08,15320144849.604387
208,KRW-POWR,32518572.56931536,1714500409.403282,402.0,BID,444.3,1.172122668471103e-07,15320144849.604387
209,KRW-POWR,32521650.92744036,1714500409.423297,402.0,BID,444.3,2.0093531459532413e-07,15320144849.604387
210,KRW-IQ,526208208.7745094,1714500409.6644878,12.25,BID,13.33,3.539790016330338e-06,8063436330.889147
